Customer ID,Name,Gender,Age,Occupation,Marital Status,"Address (City, State, Zip Code)",Age Group
CUST38610025,Sherri Hall,Male,85,Retail buyer,Married,"Hunterville, Georgia, 56333",55+
CUST67047111,Meredith Harrington,Male,85,Music tutor,Married,"Steventon, Oklahoma, 54455",55+
CUST33100217,Edward Terry,Female,85,Multimedia specialist,Divorced,"Johnsonmouth, California, 38222",55+
CUST25878496,Alyssa Vincent,Female,85,Landscape architect,Divorced,"Michaelview, New Hampshire, 68552",55+
CUST84457591,Aaron Vaughn,Male,85,"Programme researcher, broadcasting/film/video",Widowed,"Lake Kimberlyton, Colorado, 17194",55+
CUST41680621,Andrew Wilson,Other,85,Jewellery designer,Divorced,"Jessicaberg, Idaho, 76048",55+
CUST51576092,Christopher Scott,Female,85,Garment/textile technologist,Married,"Lopezchester, Mississippi, 13267",55+
CUST41476976,Amanda Greene,Female,85,Pharmacologist,Married,"Kyleberg, Maine, 65870",55+
CUST76704494,Jeffrey Thompson,Other,85,Secretary/administrator,Married,"Port Ethan, West Virginia, 93954",55+
CUST82795942,Amy Ortiz,Male,85,Medical laboratory scientific officer,Widowed,"Mindytown, Florida, 64647",55+
CUST63104430,Courtney Bryant,Male,85,Clinical psychologist,Single,"East Aliciaville, Oklahoma, 94706",55+
CUST31631183,Deborah Clark,Other,85,Plant breeder/geneticist,Single,"Christopherfort, Vermont, 97618",55+
CUST42801576,Joseph Mcintyre,Male,85,"Engineer, maintenance",Married,"Andersonport, North Carolina, 08569",55+
CUST87428356,Jill Olson,Other,85,Insurance broker,Single,"Mullenchester, Massachusetts, 03684",55+
CUST25235794,Mark Gross,Male,85,Lexicographer,Divorced,"Markfort, Connecticut, 00758",55+
CUST47935777,Jonathon Hall,Other,85,Firefighter,Divorced,"North Elizabethland, Arizona, 86329",55+
CUST02065033,Terri Diaz,Male,85,Interpreter,Married,"West Jeffrey, Arkansas, 90401",55+
CUST95531694,Melissa Hubbard,Female,85,"Editor, commissioning",Married,"Zacharyport, Georgia, 51743",55+
CUST42796193,Jennifer Ford,Male,85,Arts administrator,Single,"Jenkinston, Missouri, 28358",55+
CUST54647779,Kevin Morris,Other,85,"Designer, fashion/clothing",Divorced,"South Katherinehaven, Wisconsin, 64842",55+
CUST69542054,Debra Ruiz,Other,85,Charity officer,Widowed,"East Matthewstad, West Virginia, 21619",55+
CUST14462171,Johnathan Jones,Other,85,Midwife,Divorced,"Paulbury, North Dakota, 99699",55+
CUST74794595,Shelley Marsh,Male,85,Research scientist (life sciences),Married,"New Brenda, Louisiana, 24969",55+
CUST16037592,Elizabeth Velazquez,Other,85,"Librarian, academic",Widowed,"East Dylan, Louisiana, 74402",55+
CUST36291804,Brandon Chavez,Other,85,"Surveyor, building",Widowed,"Rhondaborough, Georgia, 09268",55+
CUST17383720,Michelle Lucero,Other,85,Customer service manager,Divorced,"West Brittany, Minnesota, 55775",55+
CUST63461471,Lori Higgins,Male,85,"Accountant, chartered certified",Married,"Kevinmouth, Idaho, 16542",55+
CUST84196195,Monica Ramirez,Other,85,Chartered public finance accountant,Widowed,"New Michael, Tennessee, 91988",55+
CUST10335621,Virginia Parrish,Female,85,Hotel manager,Divorced,"Hoffmanside, Utah, 41349",55+
CUST88078329,Dr. David Roach,Female,85,"Sales professional, IT",Divorced,"Jacksonborough, Alabama, 02052",55+
CUST24956928,Cheryl Evans,Female,85,Housing manager/officer,Single,"New Scott, Oklahoma, 88292",55+
CUST88674563,Cathy Williams,Male,85,Prison officer,Married,"Garciamouth, Georgia, 16453",55+
CUST98456806,Ryan Turner,Male,85,Energy engineer,Widowed,"East Lindaborough, Alaska, 87925",55+
CUST62417241,Sara Goodwin,Male,85,"Engineer, electrical",Single,"Lake Danielstad, Montana, 68096",55+
CUST61053077,Jordan Carroll,Male,85,Solicitor,Single,"New John, Hawaii, 13921",55+
CUST44386707,Crystal Walker,Female,85,Hospital pharmacist,Widowed,"New Rebeccatown, Wyoming, 00801",55+
CUST32700823,Candice Coleman,Male,85,Chief Executive Officer,Divorced,"Lake Deborahton, Idaho, 10209",55+
CUST61113978,Mr. Michael Lowe,Male,85,Ergonomist,Divorced,"Ashleyside, California, 66996",55+
CUST16660133,Jeremy Jones,Other,85,Ecologist,Single,"South Lisa, Oklahoma, 37186",55+
CUST20843296,Elizabeth Austin,Male,85,Immunologist,Widowed,"Williamland, Michigan, 79760",55+
CUST46205183,Rhonda Mcgrath,Female,85,Fish farm manager,Widowed,"Boonestad, Wyoming, 96489",55+
CUST54466315,Amanda Sullivan,Male,85,Plant breeder/geneticist,Divorced,"Traviston, Georgia, 42869",55+
CUST16519181,Vincent Jones,Other,85,Artist,Single,"South Alison, New Mexico, 72468",55+
CUST27984197,David Woods,Male,85,"Sales professional, IT",Divorced,"Brownville, Michigan, 08916",55+
CUST75381475,Olivia Holland,Female,85,"Engineer, energy",Married,"Jacobberg, Michigan, 71008",55+
CUST72583179,Jonathan Anderson,Female,85,Radio broadcast assistant,Widowed,"Lake Natalieville, Arkansas, 95550",55+
CUST32481898,Sandy Rodriguez,Male,85,"Designer, ceramics/pottery",Divorced,"South Blakehaven, Maryland, 63884",55+
CUST79297350,Kim Adams,Female,85,Sales promotion account executive,Divorced,"Port Kimhaven, Alabama, 24183",55+
CUST93751085,Charles Smith,Female,85,"Engineer, drilling",Divorced,"Brooksfurt, Tennessee, 73123",55+
CUST84271055,Natalie Ryan,Other,85,Farm manager,Widowed,"Sanderston, Kansas, 53694",55+
CUST37038231,Lisa Eaton,Other,85,Insurance underwriter,Married,"Mariahport, Wisconsin, 95291",55+
CUST40009068,Peter Campos,Female,85,Health promotion specialist,Widowed,"Wilsonburgh, Georgia, 64784",55+
CUST83175784,Michele Tucker,Other,85,Clinical molecular geneticist,Single,"New Luis, Oregon, 88973",55+
CUST47117667,Sara Foley,Other,85,Television production assistant,Single,"Bryanttown, Delaware, 66776",55+
CUST60571420,David Leonard,Other,85,Air broker,Single,"South Patriciaport, Louisiana, 62980",55+
CUST68444167,Pamela Newton,Other,85,Gaffer,Divorced,"Chelseachester, Oklahoma, 24442",55+
CUST03277806,Joseph Clayton,Other,85,Legal executive,Married,"Gregorytown, Wisconsin, 57161",55+
CUST80741810,Andrea Fletcher,Male,85,Marketing executive,Single,"North Courtney, South Dakota, 47869",55+
CUST05160578,Julia Robertson,Other,85,Hydrologist,Married,"Millsberg, Vermont, 97274",55+
CUST09704312,Darlene Smith,Other,85,Hydrologist,Widowed,"Port Paulaborough, North Dakota, 44502",55+
CUST86680553,Kerry Johnston,Female,85,Media planner,Married,"South Brucemouth, Arkansas, 26294",55+
CUST50406971,Peter Newman,Male,85,Cartographer,Single,"Garciamouth, Pennsylvania, 17711",55+
CUST67599187,Maria Hunt,Male,85,"Designer, furniture",Married,"Ramirezborough, West Virginia, 58008",55+
CUST91052874,John Lee,Male,85,"Teacher, early years/pre",Widowed,"Hernandezport, Texas, 53670",55+
CUST24312409,Michael Oconnell,Other,85,Pension scheme manager,Divorced,"North Gregory, Virginia, 74545",55+
CUST25301360,Jamie Evans,Male,85,Occupational hygienist,Single,"Lesliemouth, North Carolina, 26285",55+
CUST92557259,Alexander Perez,Female,85,Commissioning editor,Widowed,"Pughview, Ohio, 40104",55+
CUST85445586,Patrick Gonzales,Female,85,"Nurse, learning disability",Divorced,"New Jennifer, Arkansas, 46297",55+
CUST19811172,Laurie York,Female,85,Occupational therapist,Widowed,"Castilloville, Montana, 16747",55+
CUST78628805,Brenda Martin,Male,85,"Therapist, art",Divorced,"Juliaborough, Hawaii, 14038",55+
CUST66427411,Steve Jones,Male,85,Purchasing manager,Married,"Ballside, Wisconsin, 00812",55+
CUST01185474,Michael Thornton,Other,85,Information officer,Divorced,"Littleland, Maryland, 65564",55+
CUST83174416,Melissa Martin,Other,85,Theatre manager,Divorced,"New Alexandraberg, South Dakota, 73373",55+
CUST54951289,Kathy Garcia,Other,85,Patent examiner,Widowed,"New Kevin, Rhode Island, 89667",55+
